,Id,SalePrice
0,1461,130513.16
1,1462,168574.05
2,1463,177131.55
3,1464,197927.88
4,1465,185988.98
5,1466,167629.92
6,1467,175074.53
7,1468,178158.34
8,1469,156306.45
9,1470,119525.94
10,1471,200544.0
11,1472,90762.914
12,1473,87258.71
13,1474,150339.33
14,1475,117365.164
15,1476,372609.3
16,1477,242162.66
17,1478,307669.7
18,1479,242262.44
19,1480,525380.06
20,1481,302609.53
21,1482,191696.67
22,1483,165337.36
23,1484,165901.19
24,1485,163469.31
25,1486,198335.94
26,1487,323448.25
27,1488,234985.75
28,1489,209247.45
29,1490,238164.25
30,1491,189476.34
31,1492,95903.65
32,1493,217312.66
33,1494,309891.1
34,1495,291657.22
35,1496,224991.75
36,1497,186345.1
37,1498,166264.58
38,1499,164814.25
39,1500,164545.9
40,1501,188262.62
41,1502,151830.88
42,1503,291783.56
43,1504,232112.45
44,1505,216483.78
45,1506,181473.08
46,1507,264102.75
47,1508,226304.11
48,1509,162617.27
49,1510,144739.47
50,1511,140082.83
51,1512,179826.16
52,1513,151852.64
53,1514,191854.53
54,1515,195103.77
55,1516,160786.3
56,1517,162002.39
57,1518,134389.3
58,1519,227941.7
59,1520,133721.22
60,1521,138824.92
61,1522,183312.22
62,1523,118365.94
63,1524,136369.19
64,1525,130193.38
65,1526,118040.36
66,1527,95059.79
67,1528,147292.4
68,1529,145704.02
69,1530,163429.23
70,1531,106184.52
71,1532,96768.54
72,1533,153370.11
73,1534,115133.91
74,1535,182049.9
75,1536,110688.46
76,1537,90322.16
77,1538,179598.8
78,1539,199041.64
79,1540,115816.445
80,1541,167828.0
81,1542,128539.03
82,1543,222548.4
83,1544,89870.85
84,1545,107326.516
85,1546,131583.75
86,1547,147775.5
87,1548,139279.55
88,1549,110188.58
89,1550,131446.2
90,1551,113809.875
91,1552,149676.06
92,1553,152805.9
93,1554,107090.195
94,1555,179255.33
95,1556,104042.8
96,1557,114463.68
97,1558,84445.21
98,1559,95419.04
99,1560,136838.8
100,1561,133037.61
101,1562,125457.805
102,1563,116816.24
103,1564,148612.9
104,1565,138386.45
105,1566,248157.92
106,1567,71872.3
107,1568,230606.62
108,1569,134799.39
109,1570,127429.83
110,1571,116843.54
111,1572,152543.44
112,1573,261415.66
113,1574,134082.14
114,1575,217621.14
115,1576,264674.22
116,1577,189584.61
117,1578,146755.53
118,1579,163294.47
119,1580,205747.0
120,1581,153766.2
121,1582,125305.91
122,1583,376626.5
123,1584,247408.84
124,1585,138371.95
125,1586,80624.43
126,1587,101496.43
127,1588,149695.55
128,1589,113926.07
129,1590,123599.15
130,1591,77364.43
131,1592,117826.64
132,1593,136372.4
133,1594,169684.36
134,1595,115449.98
135,1596,221876.4
136,1597,170203.8
137,1598,197520.19
138,1599,172951.44
139,1600,173087.5
140,1601,68839.51
141,1602,124011.445
142,1603,96050.0
143,1604,302678.5
144,1605,272836.53
145,1606,171183.02
146,1607,202773.05
147,1608,205401.44
148,1609,190119.98
149,1610,166372.98
150,1611,134716.52
151,1612,172543.44
152,1613,173508.56
153,1614,120303.67
154,1615,84291.87
155,1616,67801.59
156,1617,94200.484
157,1618,117465.59
158,1619,137639.5
159,1620,195766.83
160,1621,146612.33
161,1622,140377.48
162,1623,304512.2
163,1624,215763.1
164,1625,110824.445
165,1626,158600.05
166,1627,192205.22
167,1628,288066.8
168,1629,188744.86
169,1630,353297.25
170,1631,223488.22
171,1632,222882.08
172,1633,162948.11
173,1634,182125.27
174,1635,170317.3
175,1636,151275.8
176,1637,205233.9
177,1638,192884.34
178,1639,195574.22
179,1640,287279.56
180,1641,185836.33
181,1642,225312.64
182,1643,218174.02
183,1644,222696.23
184,1645,198513.95
185,1646,154046.08
186,1647,155083.36
187,1648,131812.4
188,1649,147927.28
189,1650,113712.04
190,1651,123792.79
191,1652,97931.15
192,1653,97814.59
193,1654,147860.92
194,1655,150283.64
195,1656,147818.92
196,1657,152365.2
197,1658,137080.56
198,1659,116149.33
199,1660,155605.6
200,1661,506277.25
201,1662,448273.78
202,1663,404796.44
203,1664,358807.28
204,1665,349049.8
205,1666,333645.56
206,1667,388358.9
207,1668,329477.16
208,1669,273056.78
209,1670,328040.56
210,1671,280279.06
211,1672,421374.8
212,1673,312771.4
213,1674,262661.78
214,1675,190148.5
215,1676,186528.92
216,1677,211613.55
217,1678,401696.7
218,1679,367446.03
219,1680,312293.6
220,1681,234672.3
221,1682,300350.5
222,1683,194400.4
223,1684,172170.39
224,1685,171993.88
225,1686,174007.67
226,1687,172104.05
227,1688,190776.64
228,1689,200551.86
229,1690,189927.47
230,1691,177452.0
231,1692,252153.11
232,1693,175826.67
233,1694,181152.1
234,1695,171427.14
235,1696,309620.28
236,1697,179365.97
237,1698,386975.53
238,1699,316853.2
239,1700,242902.67
240,1701,257747.66
241,1702,267434.03
242,1703,254901.86
243,1704,308340.28
244,1705,233849.39
245,1706,389839.94
246,1707,209754.44
247,1708,197758.3
248,1709,278171.22
249,1710,211232.64
250,1711,247837.64
251,1712,235954.66
252,1713,265827.53
253,1714,208545.45
254,1715,204108.66
255,1716,211273.05
256,1717,170049.95
257,1718,126971.47
258,1719,197885.67
259,1720,248903.5
260,1721,164074.44
261,1722,105844.664
262,1723,165699.12
263,1724,173550.06
264,1725,246376.78
265,1726,181250.55
266,1727,149993.67
267,1728,185337.38
268,1729,174244.27
269,1730,178505.56
270,1731,112610.51
271,1732,122792.625
272,1733,107175.266
273,1734,119604.44
274,1735,117196.14
275,1736,100938.98
276,1737,382005.3
277,1738,228686.42
278,1739,289508.1
279,1740,217300.1
280,1741,190217.45
281,1742,177195.11
282,1743,166309.45
283,1744,307544.06
284,1745,216873.73
285,1746,208015.4
286,1747,224545.48
287,1748,240158.25
288,1749,142888.22
289,1750,140777.83
290,1751,237772.97
291,1752,105504.055
292,1753,158581.02
293,1754,201332.08
294,1755,182905.36
295,1756,130645.26
296,1757,116936.71
297,1758,141181.55
298,1759,175303.9
299,1760,148197.73
300,1761,148623.73
301,1762,178304.77
302,1763,172780.95
303,1764,93944.266
304,1765,181902.5
305,1766,181992.64
306,1767,220252.75
307,1768,141170.78
308,1769,193164.17
309,1770,142259.89
310,1771,130806.875
311,1772,119235.57
312,1773,139253.75
313,1774,106354.18
314,1775,141529.66
315,1776,117460.64
316,1777,115065.74
317,1778,139108.27
318,1779,119981.51
319,1780,192579.75
320,1781,129949.89
321,1782,73582.65
