Id,SalePrice
1461,130513.16
1462,168574.05
1463,177131.55
1464,197927.88
1465,185988.98
1466,167629.92
1467,175074.53
1468,178158.34
1469,156306.45
1470,119525.94
1471,200544.0
1472,90762.914
1473,87258.71
1474,150339.33
1475,117365.164
1476,372609.3
1477,242162.66
1478,307669.7
1479,242262.44
1480,525380.06
1481,302609.53
1482,191696.67
1483,165337.36
1484,165901.19
1485,163469.31
1486,198335.94
1487,323448.25
1488,234985.75
1489,209247.45
1490,238164.25
1491,189476.34
1492,95903.65
1493,217312.66
1494,309891.1
1495,291657.22
1496,224991.75
1497,186345.1
1498,166264.58
1499,164814.25
1500,164545.9
1501,188262.62
1502,151830.88
1503,291783.56
1504,232112.45
1505,216483.78
1506,181473.08
1507,264102.75
1508,226304.11
1509,162617.27
1510,144739.47
1511,140082.83
1512,179826.16
1513,151852.64
1514,191854.53
1515,195103.77
1516,160786.3
1517,162002.39
1518,134389.3
1519,227941.7
1520,133721.22
1521,138824.92
1522,183312.22
1523,118365.94
1524,136369.19
1525,130193.38
1526,118040.36
1527,95059.79
1528,147292.4
1529,145704.02
1530,163429.23
1531,106184.52
1532,96768.54
1533,153370.11
1534,115133.91
1535,182049.9
1536,110688.46
1537,90322.16
1538,179598.8
1539,199041.64
1540,115816.445
1541,167828.0
1542,128539.03
1543,222548.4
1544,89870.85
1545,107326.516
1546,131583.75
1547,147775.5
1548,139279.55
1549,110188.58
1550,131446.2
1551,113809.875
1552,149676.06
1553,152805.9
1554,107090.195
1555,179255.33
1556,104042.8
1557,114463.68
1558,84445.21
1559,95419.04
1560,136838.8
1561,133037.61
1562,125457.805
1563,116816.24
1564,148612.9
1565,138386.45
1566,248157.92
1567,71872.3
1568,230606.62
1569,134799.39
1570,127429.83
1571,116843.54
1572,152543.44
1573,261415.66
1574,134082.14
1575,217621.14
1576,264674.22
1577,189584.61
1578,146755.53
1579,163294.47
1580,205747.0
1581,153766.2
1582,125305.91
1583,376626.5
1584,247408.84
1585,138371.95
1586,80624.43
1587,101496.43
1588,149695.55
1589,113926.07
1590,123599.15
1591,77364.43
1592,117826.64
1593,136372.4
1594,169684.36
1595,115449.98
1596,221876.4
1597,170203.8
1598,197520.19
1599,172951.44
1600,173087.5
1601,68839.51
1602,124011.445
1603,96050.0
1604,302678.5
1605,272836.53
1606,171183.02
1607,202773.05
1608,205401.44
1609,190119.98
1610,166372.98
1611,134716.52
1612,172543.44
1613,173508.56
1614,120303.67
1615,84291.87
1616,67801.59
1617,94200.484
1618,117465.59
1619,137639.5
1620,195766.83
1621,146612.33
1622,140377.48
1623,304512.2
1624,215763.1
1625,110824.445
1626,158600.05
1627,192205.22
1628,288066.8
1629,188744.86
1630,353297.25
1631,223488.22
1632,222882.08
1633,162948.11
1634,182125.27
1635,170317.3
1636,151275.8
1637,205233.9
1638,192884.34
1639,195574.22
1640,287279.56
1641,185836.33
1642,225312.64
1643,218174.02
1644,222696.23
1645,198513.95
1646,154046.08
1647,155083.36
1648,131812.4
1649,147927.28
1650,113712.04
1651,123792.79
1652,97931.15
1653,97814.59
1654,147860.92
1655,150283.64
1656,147818.92
1657,152365.2
1658,137080.56
1659,116149.33
1660,155605.6
1661,506277.25
1662,448273.78
1663,404796.44
1664,358807.28
1665,349049.8
1666,333645.56
1667,388358.9
1668,329477.16
1669,273056.78
1670,328040.56
1671,280279.06
1672,421374.8
1673,312771.4
1674,262661.78
1675,190148.5
1676,186528.92
1677,211613.55
1678,401696.7
1679,367446.03
1680,312293.6
1681,234672.3
1682,300350.5
1683,194400.4
1684,172170.39
1685,171993.88
1686,174007.67
1687,172104.05
1688,190776.64
1689,200551.86
1690,189927.47
1691,177452.0
1692,252153.11
1693,175826.67
1694,181152.1
1695,171427.14
1696,309620.28
1697,179365.97
1698,386975.53
1699,316853.2
1700,242902.67
1701,257747.66
1702,267434.03
1703,254901.86
1704,308340.28
1705,233849.39
1706,389839.94
1707,209754.44
1708,197758.3
1709,278171.22
1710,211232.64
1711,247837.64
1712,235954.66
1713,265827.53
1714,208545.45
1715,204108.66
1716,211273.05
1717,170049.95
1718,126971.47
1719,197885.67
1720,248903.5
1721,164074.44
1722,105844.664
1723,165699.12
1724,173550.06
1725,246376.78
1726,181250.55
1727,149993.67
1728,185337.38
1729,174244.27
1730,178505.56
1731,112610.51
1732,122792.625
1733,107175.266
1734,119604.44
1735,117196.14
1736,100938.98
1737,382005.3
1738,228686.42
1739,289508.1
1740,217300.1
1741,190217.45
1742,177195.11
1743,166309.45
1744,307544.06
1745,216873.73
1746,208015.4
1747,224545.48
1748,240158.25
1749,142888.22
1750,140777.83
1751,237772.97
1752,105504.055
1753,158581.02
1754,201332.08
1755,182905.36
1756,130645.26
1757,116936.71
1758,141181.55
1759,175303.9
1760,148197.73
1761,148623.73
1762,178304.77
1763,172780.95
1764,93944.266
1765,181902.5
1766,181992.64
1767,220252.75
1768,141170.78
1769,193164.17
1770,142259.89
1771,130806.875
1772,119235.57
1773,139253.75
1774,106354.18
1775,141529.66
1776,117460.64
1777,115065.74
1778,139108.27
1779,119981.51
1780,192579.75
1781,129949.89
1782,73582.65
1783,144902.22
1784,99424.555
1785,122727.15
1786,147367.34
1787,154167.16
1788,48901.914
1789,112640.5
1790,70778.91
1791,206312.16
1792,156069.62
1793,141762.66
1794,138797.8
1795,130845.445
1796,115067.46
1797,145247.97
1798,117902.695
1799,110595.57
1800,126693.61
1801,148698.11
1802,146788.14
1803,140403.14
1804,144195.22
1805,135334.45
1806,115164.93
1807,141389.08
1808,123560.65
1809,131632.5
1810,159961.0
1811,103204.58
